Precinct,Council Member -- District  1-:-Craig A. Mathews (DEM),"Council Member -- District  1-:-Herbert ""H.B."" Bell (DEM)",Council Member -- District  3-:-Peter Soprano (IND),Council Member -- District  3-:-Rodney Olander (REP),Council Member -- District  3-:-Whitney Bourque (DEM),Council Member -- District  4-:-David W. Hill (REP),Council Member -- District  4-:-Javon Charles (NOPTY),Council Member -- District  4-:-Myron Bourque (NOPTY),"Council Member -- District  5-:-Charles ""Butchie"" McKinley (DEM)","Council Member -- District  5-:-Douglas Streety, Jr. (REP)","Council Member -- District  5-:-Leslie ""Les"" Rulf (REP)",Council Member -- District  6-:-Patrick J. Hebert (REP),Council Member -- District  6-:-Shawn Canty (REP),"Council Member -- District  7-:-James ""Hammer"" Bennett, Jr. (NOPTY)","Council Member -- District  7-:-James ""Jimmy"" Davis, Jr. (REP)","Council Member -- District  8-:-Carlo Gagliano, Jr. (NOPTY)",Council Member -- District  8-:-Eriq Blanchard (NOPTY),Council Member -- District  8-:-Mark A. Duhon (NOPTY),Council Member at Large -- District 10-:-Angelena Brocato (DEM),"Council Member at Large -- District 10-:-Gwendolyn ""Gwen"" Hidalgo (REP)",Council Member at Large -- District 10-:-Reginald D. Weary (DEM)
St. Mary-:-00 32,0,0,0,0,0,0,0,0,0,0,0,211,88,0,0,0,0,0,135,159,8
St. Mary-:-00 33,0,0,0,0,0,0,0,0,0,0,0,147,119,0,0,0,0,0,95,156,12
St. Mary-:-00 34,0,0,0,0,0,0,0,0,0,0,0,72,88,0,0,0,0,0,44,96,28
St. Mary-:-00 35,0,0,0,0,0,0,0,0,0,0,0,0,0,169,82,0,0,0,47,109,73
St. Mary-:-00 36,0,0,0,0,0,0,0,0,0,0,0,0,0,122,236,0,0,0,93,187,28
St. Mary-:-00 37,0,0,0,0,0,0,0,0,0,0,0,0,0,191,218,0,0,0,96,214,40
St. Mary-:-00 38,0,0,0,0,0,0,0,0,0,0,0,0,0,124,136,0,0,0,59,132,39
St. Mary-:-00 39,0,0,0,0,0,0,0,0,0,0,0,65,69,70,125,0,0,0,90,155,75
St. Mary-:-00 40,0,0,0,0,0,0,0,0,0,0,0,96,60,0,0,36,50,57,93,152,51
St. Mary-:-00 41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,97,104,109,205,18
St. Mary-:-00 42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,80,23,11,109
St. Mary-:-00 43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,34,103,64,90,33
St. Mary-:-00 44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,57,9,3,67
St. Mary-:-00 45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,34,146,103,146,33
